title,genres,popularity,vote_average,overview,genres_list,mood_label,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_Foreign,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western,popularity_scaled,vote_scaled,cluster
Avatar,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",150.437577,7.2,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.","['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Angry,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4.0427619581354755,0.952025502039468,0
Pirates of the Caribbean: At World's End,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",139.082615,6.9,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.","['Adventure', 'Fantasy', 'Action']",Angry,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.6864094869284396,0.6889868437426454,0
Spectre,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}]",107.376788,6.3,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.","['Action', 'Adventure', 'Crime']",Angry,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6913863593201945,0.1629095271489994,0
The Dark Knight Rises,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",112.31295,7.6,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.","['Action', 'Crime', 'Drama', 'Thriller']",Angry,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.846297800413372,1.302743713101898,0
John Carter,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",43.926995,6.1,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.","['Action', 'Adventure', 'Science Fiction']",Angry,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7001431888785045,-0.012449578382215937,0
Spider-Man 3,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",115.699814,5.9,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.","['Fantasy', 'Action', 'Adventure']",Angry,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.952587663474309,-0.1878086839134305,0
Tangled,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",48.681969,7.4,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.","['Animation', 'Family']",Neutral,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.849368411774469,1.1273846075706833,0
Avengers: Age of Ultron,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",134.279229,7.3,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.","['Action', 'Adventure', 'Science Fiction']",Angry,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.5356649515208103,1.0397050548050752,0
Harry Potter and the Half-Blood Prince,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]",98.885637,7.4,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.","['Adventure', 'Fantasy', 'Family']",Neutral,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2.424908792751315,1.1273846075706833,0
Batman v Superman: Dawn of Justice,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",155.790452,5.7,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.","['Action', 'Adventure', 'Fantasy']",Angry,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.210751092252557,-0.36316778944464584,0
Superman Returns,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",57.925623,5.4,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.","['Adventure', 'Fantasy', 'Action', 'Science Fiction']",Angry,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.1394617600289858,-0.6262064477414685,0
Quantum of Solace,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",107.928811,6.1,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.","['Adventure', 'Action', 'Thriller', 'Crime']",Angry,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.7087104824844217,-0.012449578382215937,0
Pirates of the Caribbean: Dead Man's Chest,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",145.847379,7.0,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.","['Adventure', 'Fantasy', 'Action']",Angry,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.8987078960761226,0.7766663965082526,0
The Lone Ranger,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 37, ""name"": ""Western""}]",49.046956,5.9,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.","['Action', 'Adventure', 'Western']",Angry,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8608227891126268,-0.1878086839134305,0
Man of Steel,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",99.398009,6.5,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.","['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Angry,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2.4409885496344548,0.33826863268021473,0
The Chronicles of Narnia: Prince Caspian,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",53.978602,6.3,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.","['Adventure', 'Family', 'Fantasy']",Neutral,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0155925046976102,0.1629095271489994,0
The Avengers,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",144.448633,7.4,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!","['Science Fiction', 'Action', 'Adventure']",Angry,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.8548110874658468,1.1273846075706833,0
Pirates of the Caribbean: On Stranger Tides,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",135.413856,6.4,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.","['Adventure', 'Action', 'Fantasy']",Angry,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.5712729205609737,0.25058907991460744,0
Men in Black 3,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}]",52.035179,6.2,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.","['Action', 'Comedy', 'Science Fiction']",Angry,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9546021122462226,0.07522997438339211,0
